"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Проверка, что тип ингредиента корректно определяется для 2-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","test_get_correct_name[red bun-300]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","0","Проверка, что имя ингредиента устанавливается корректно","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","test_get_price","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","0","Проверка, что значения типов ингредиентов заданы корректно","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredientTypes","test_ingredient_types","",""
"","0","Создание ингредиентов с разными типами","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredientTypes","test_ingredient_types","",""
"","0","test_get_correct_price[red bun-300]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","1","Проверка количества доступных SAUCE","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestDataBase","test_database","",""
"","0","test_get_receipt","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","0","Проверка количества доступных булок","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestDataBase","test_database","",""
"","0","Проверка количества доступных ингредиентов","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestDataBase","test_database","",""
"","0","Проверка количества доступных FILLING","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestDataBase","test_database","",""
"","0","test_get_correct_price[black bun-100]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","0","test_set_buns","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","1","Проверка, что тип ингредиента корректно определяется для 4-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","Проверка, что тип ингредиента корректно определяется для 1-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","test_get_correct_price[white bun-200]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","0","Проверка, что тип ингредиента корректно определяется для 3-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","Проверка, что цена ингредиента устанавливается корректно","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","test_remove_ingredient","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","0","test_get_correct_name[black bun-100]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","0","Проверка, что тип ингредиента корректно определяется для 5-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","test_move_ingredient","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","0","test_get_correct_name[white bun-200]","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBun","test_bun","",""
"","0","test_add_ingredient","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestBurger","test_burger","",""
"","0","Проверка, что тип ингредиента корректно определяется для 0-го ингредиента","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestIngredient","test_ingredient","",""
"","0","Сравнение цен ингредиентов в базе данных","tests","Sun Mar 23 15:32:18 CET 2025","passed","Sun Mar 23 15:32:18 CET 2025","TestDataBase","test_database","",""
